Track 1,Track 2,Track 3,Track 4,Track 5,Track 6,Track 7,Track 8,Time,SAUH,RLK,NCR,INRD,CHG,RUS,WAX,INTM,ESUN,TOLS,CBL,CBS,CHBR,SEL,ANS,WIL,ESAL,SAUB,ESTR,LAF,NAS,BIR,CIN,DTR,EFIM,EVL,ESUK,LIRC,LFNS,PITS,MRN,MIIL,THT,FFT,CLEA,CRA,TUSC,INTP,LEBN,THTB,WALM,RAMP,RIP,LICL,PARA,BRO,HOLD,Spare 1,Spare 2,Spare 3,Spare 4,Spare 5,Spare 6,Time,Pull 1,Pull 2,Pull 3,D1,D2,D3,D4,D5,D6
NASITH,,,,LI21,,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00,,,,,,,,,
,,,,,,,,0:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:15,,,,,,,,,
,,,,,,,,0:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:30,,,,,,,,,
,,,,,,,,0:45,1,0,1,2,2,2,6,2,2,2,12,1,1,6,8,2,3,3,8,3,4,11,10,0,1,3,1,3,0,1,0,0,2,0,9,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0:45,,,,,,,,,
,,,,,,,,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:00,,,,,,,,,
,,,,,,,,1:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:15,,,,,,,,,
,,,,,,,,1:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:30,,,,,,,,,
,,,,,,,,1:45,1,9,0,1,5,1,2,2,3,10,2,1,4,2,0,5,2,2,3,1,1,1,4,2,0,1,5,2,2,0,0,2,2,0,1,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1:45,,,,,,,,,
,,,,,,,,2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2:00,ITHEFI,,,ITHEFI,,,,,
,,,,,,,,2:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2:15,ITHEFI,,,PULL,,,,,
,,,,,,,,2:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2:30,ITHEFI,,,PULL,,,,,
,,TOLITH,,,,,,2:45,0,0,3,0,4,5,1,2,1,0,8,1,0,4,0,1,0,2,1,0,8,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2:45,ITHEFI,,,PULL,,,,,
,,,,,,,,3:00,0,0,0,0,-56,0,0,-59,0,0,0,0,-65,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,-26,0,0,0,0,0,0,-22,0,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3:00,LO29,ITHCHG,LO26,,LO29,,ITHCHG,LO26,
,,,,,,,,3:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3:15,LO29,ITHCHG,LO26,,PULL,,PULL,PULL,
,,,,,,,,3:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3:30,LO29,ITHCHG,LO26,,PULL,,PULL,PULL,
,,,,,,,,3:45,0,2,2,0,0,6,4,0,0,5,3,0,0,1,0,1,1,3,1,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3:45,LO29,ITHCHG,LO26,,PULL,,PULL,PULL,
,,,,,,,,4:00,0,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4:00,ITHESU,,,,,ITHESU,,,
,,,,,,,,4:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4:15,ITHESU,,,,,PULL,,,
,,,,,,,,4:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4:30,ITHESU,,,,,PULL,,,
,CHGITH,,,,,,,4:45,1,1,10,0,2,2,3,3,0,3,2,1,4,2,0,2,2,3,4,1,5,3,8,0,1,2,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4:45,ITHESU,,,,,PULL,,,
,,,,,,,,5:00,0,0,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,5:00,LO27,,,,,,,,LO27
,,,,,,,,5:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5:15,LO27,,,,,,,,PULL
,,,,,,,,5:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5:30,LO27,,,,,,,,PULL
,,,,,,,,5:45,2,2,0,2,1,5,0,4,1,3,2,2,2,3,15,7,7,4,6,12,0,1,1,4,1,0,3,1,5,0,4,3,3,6,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5:45,LO27,,,,,,,,PULL
,,RUSITH,WAXITH,,,,,6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6:00,LO76,,,LO76,,,,,
,,,,,,,,6:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6:15,LO76,,,PULL,,,,,
,,,,,,,,6:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6:30,LO76,,,PULL,,,,,
,,,,,,,,6:45,0,1,1,0,3,3,2,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6:45,LO76,,,PULL,,,,,
ESUITH,SELITH,,,,,,,7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7:00,ITHWIL,,,,ITHWIL,,,,
,,,,,,,,7:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7:15,ITHWIL,,,,PULL,,,,
,,,,DTRITH,,,,7:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7:30,ITHWIL,,,,PULL,,,,
,,,,,,,,7:45,3,3,7,2,1,2,5,1,2,5,4,5,2,4,3,0,2,7,4,4,9,9,10,1,1,2,1,2,3,2,0,3,4,2,2,2,5,2,6,0,5,1,0,0,0,2,0,0,0,0,0,0,0,7:45,ITHWIL,,,,PULL,,,,
,,,,,,,,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8:00,,,,,,,,,
,,,,,,,,8:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8:15,,,,,,,,,
,,BIRITH,,,,,,8:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,,,,,,,,
,,,,,,,,8:45,2,3,2,4,2,0,4,1,3,2,8,0,3,1,11,1,3,9,3,2,6,7,6,2,3,1,1,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8:45,,,,,,,,,
,,,SAUITH,,,,,9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,-24,0,0,0,0,0,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,9:00,LO21,,,,,LO21,,,
,,,,,,,,9:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9:15,LO21,,,,,PULL,,,
,,,,,CINITH,,,9:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9:30,LO21,,,,,PULL,,,
,,,,,,,,9:45,0,1,1,1,1,0,0,6,14,0,1,3,4,0,5,2,5,1,6,3,1,1,2,4,2,1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9:45,LO21,,,,,PULL,,,
,,,,,,,,10:00,0,0,0,0,0,0,0,0,0,0,-50,0,0,0,-49,0,0,0,0,0,0,0,-57,0,0,0,0,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,10:00,OLIR,ITHCIN,ITHCBL,,,,OLIR,ITHCIN,ITHCBL
,,,,,,,,10:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10:15,OLIR,ITHCIN,ITHCBL,,,,PULL,PULL,PULL
,,,,,,,,10:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10:30,OLIR,ITHCIN,ITHCBL,,,,PULL,PULL,PULL
,,,,,,,,10:45,0,1,2,0,2,1,9,6,0,1,0,2,1,3,0,3,2,0,0,1,15,6,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,3,1,1,0,1,2,0,3,0,0,0,0,0,0,0,0,10:45,OLIR,ITHCIN,ITHCBL,,,,PULL,PULL,PULL
