R1,R2,R3,R4,R5,R6,R7,R8,R9,Hump,Time,SPARE 1,SPARE 2,SPARE 3,SPARE 4,SPARE 5,CLEA,MRN,EVL,EFIM,LIRC,LICL,INRD,RUS,TUSC,DTR,CIN,CIN,CBL,CBS,SEL,ANS,TOLS,WALM,SAUB,ESTR,LAF,BIR,NAS,INTM,INTP,NCR,BRO,PITS,ESAL,WIL,CHBR,MIIL,THT,THTB,ESUN,WAX,CHG,RLK,FFT,LEBN,SAUH,ESUK,LFNS,CRA,RAMP,PARA,HOLD,SPARE 6,SPARE 7,SPARE 8,SPARE 9,RIP,Pull 1,Pull 2,Pull 3,Pull 4,D1,D2,D3,D4,D5,D6,D7
INRD (51),,LI21 (73),NASITH (119),LI27 (82),LI76 (54),LI26 (116),,,LI26 (116),12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull HOLD,,,,ITHEST,ITHSEL,ITHNAS,,,,
INRD (51),,LI21 (73),NASITH (119),LI27 (82),LI76 (54),LI26 (116),,,LI26 (116),12:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull HOLD,,,,ITHEST,ITHSEL,ITHNAS,,,,
INRD (51),,LI21 (73),NASITH (119),LI27 (82),LI76 (54),LI26 (116),,,LI26 (116),12:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull HOLD,,,,ITHEST,ITHSEL,ITHNAS,,,,
INRD (51),,LI21 (73),NASITH (119),LI27 (82),LI76 (54),LI26 (116),,,LI26 (116),12:45 AM,,,,,,9,,3,1,3,,2,2,,,10,,12,1,6,8,2,6,3,8,,11,4,2,,1,,1,3,2,1,,2,,2,6,2,,,,1,1,,,,,3(C),,,,,1,Pull HOLD,,,,ITHEST,ITHSEL,ITHNAS,,,,
INRD (51),,LI21 (73),NASITH (119),LI27 (82),LI76 (54),,,,LI27 (82),1:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull 1 from sp tk 1 to CLEA,Pull 1 from sp tk 5 to EVL,Pull 1 from sp tk 7 to RUS,,,ITHSEL,ITHNAS,,,,
INRD (51),,LI21 (73),NASITH (119),LI27 (82),LI76 (54),,,,LI27 (82),1:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull 1 from sp tk 1 to CLEA,Pull 1 from sp tk 5 to EVL,Pull 1 from sp tk 7 to RUS,,,ITHSEL,ITHNAS,,,,
INRD (51),,LI21 (73),NASITH (119),LI27 (82),LI76 (54),,,,LI27 (82),1:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pull 1 from sp tk 1 to CLEA,Pull 1 from sp tk 5 to EVL,Pull 1 from sp tk 7 to RUS,,,ITHSEL,ITHNAS,,,,
INRD (51),,LI21 (73),NASITH (119),LI27 (82),LI76 (54),,,,LI27 (82),1:45 AM,1 CLEA(C),,,,1 EVL (C),1,,1,,2,1,1,1,,2,4,,2,1,2,,10,,2,3,1,1,1,2,2,,,,2,5,4,2,2,1,3,2,5,9,,,1,5,2,1,,,,,1 RUS(C),,,1,Pull 1 from sp tk 1 to CLEA,Pull 1 from sp tk 5 to EVL,Pull 1 from sp tk 7 to RUS,,,ITHSEL,ITHNAS,,,,
INRD (51),,LI21 (73),NASITH (119),,LI76 (54),,,,LI76 (54),2:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LO26(Pull CRA, LFNS, LAF)",ITHEFI(Pull EFIM),Pull 1 from sp tk 6 to TOLS+WALM,Pull 1 from sp tk 8 to CBS,,,ITHNAS,ITHEFI(35),LO26(128),,
INRD (51),,LI21 (73),NASITH (119),,LI76 (54),,,,LI76 (54),2:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO26,ITHEFI,Pull 1 from sp tk 6 to TOLS+WALM,Pull 1 from sp tk 8 to CBS,,,ITHNAS,ITHEFI,LO26,,
INRD (51),,LI21 (73),NASITH (119),,LI76 (54),,,,LI76 (54),2:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO26,ITHEFI,Pull 1 from sp tk 6 to TOLS+WALM,Pull 1 from sp tk 8 to CBS,,,ITHNAS,ITHEFI,LO26,,
INRD (51),,LI21 (73),NASITH (119),TOLITH (26),LI76 (54),,,,LI76 (54),2:45 AM,,,,,,2,,,57(C),,,,5,,,6,,8,1,4,,1,,2,1,80(C),6,8,2,,3,,,,1,,,,,1,1,4,,,,,,26(C),22(C),,,,1 TOLS 1WALM(C),,1 CBS(C),,,LO26,ITHEFI,Pull 1 from sp tk 6 to TOLS+WALM,Pull 1 from sp tk 8 to CBS,,,ITHNAS,ITHEFI,LO26,,
INRD (51),,LI21 (73),NASITH (119),TOLITH (26),,,,,INRD (51),3:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO29 (Pull INTM + INTP),"ITHCHG(Pull CHG, CHBR)",,,LO29 (78),ITHCHG(121),ITHNAS,ITHEFI,LO26,,
INRD (51),,LI21 (73),NASITH (119),TOLITH (26),,,,,INRD (51),3:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO29,ITHCHG,,,LO29,ITHCHG,ITHNAS,ITHEFI,LO26,,
INRD (51),,LI21 (73),NASITH (119),TOLITH (26),,,,,INRD (51),3:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO29,ITHCHG,,,LO29,ITHCHG,,ITHEFI,LO26,,
INRD (51),,LI21 (73),NASITH (119),TOLITH (26),,,,,INRD (51),3:45 AM,1CHG,2CHBR,,,,,,,,,1,,6,,,7,,3,,1,,5,,3,1,3,3,1,59(C),19(C),2,,,1,1,65(C),,,,,4,56(C),2,,,,,,,3,,,,,,1INTM 1INTP,,LO29,ITHCHG,,,LO29,ITHCHG,,ITHEFI,LO26,,
,,LI21 (73),NASITH (119),TOLITH (26),,,,,NASITH (119),4:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO27(BRO + PITS + NCR),"ITHESU(Pull ESUK, ESUN)",,,LO29,ITHCHG,ITHESU(94),ITHEFI,LO26,LO27(76),
,,LI21 (73),NASITH (119),TOLITH (26),,,,,NASITH (119),4:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO27,ITHESU,,,LO29,ITHCHG,ITHESU,ITHEFI,LO26,LO27,
,,LI21 (73),NASITH (119),TOLITH (26),,,,,NASITH (119),4:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LO27,ITHESU,,,LO29,ITHCHG,ITHESU,ITHEFI,LO26,LO27,
